==========================================
SLURM_JOB_ID = 2410593
SLURM_NODELIST = gnode106
SLURM_JOB_GPUS = 1
==========================================
/var/spool/slurmd/job2410593/slurm_script: line 10: activate: No such file or directory

video 1/1721 (1/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 26.9ms
video 1/1721 (2/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 26.7ms
video 1/1721 (3/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 26.5ms
video 1/1721 (4/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 26.5ms
video 1/1721 (5/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 26.0ms
video 1/1721 (6/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 24.0ms
video 1/1721 (7/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.0ms
video 1/1721 (8/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 24.2ms
video 1/1721 (9/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 24.2ms
video 1/1721 (10/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 24.1ms
video 1/1721 (11/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (12/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (13/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (14/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
video 1/1721 (15/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 (no detections), 23.9ms
