json_stats: {"RAM": "8.56/251.57G", "_type": "train_epoch", "dt": 0.12586, "dt_data": 0.12586, "dt_net": 0.54214, "epoch": "1/200", "eta": "0:01:15", "gpu_mem": "7.44G", "grad_norm": 78.58661, "loss": 1.76763, "lr": 0.00000, "top1_err": 91.66667, "top5_err": 0.00000}
json_stats: {"RAM": "8.54/251.57G", "_type": "train_epoch", "dt": 0.12100, "dt_data": 0.12100, "dt_net": 0.53178, "epoch": "2/200", "eta": "0:01:11", "gpu_mem": "7.45G", "grad_norm": 71.50660, "loss": 2.06283, "lr": 0.00001, "top1_err": 91.66667, "top5_err": 16.66667}
json_stats: {"RAM": "8.54/251.57G", "_type": "train_epoch", "dt": 0.12252, "dt_data": 0.12252, "dt_net": 0.54256, "epoch": "3/200", "eta": "0:01:12", "gpu_mem": "7.45G", "grad_norm": 91.91174, "loss": 1.68750, "lr": 0.00001, "top1_err": 66.66667, "top5_err": 8.33333}
json_stats: {"RAM": "8.56/251.57G", "_type": "train_epoch", "dt": 0.12106, "dt_data": 0.12106, "dt_net": 0.54315, "epoch": "4/200", "eta": "0:01:11", "gpu_mem": "7.45G", "grad_norm": 70.10326, "loss": 1.86264, "lr": 0.00001, "top1_err": 75.00000, "top5_err": 8.33333}
json_stats: {"RAM": "8.55/251.57G", "_type": "train_epoch", "dt": 0.12162, "dt_data": 0.12162, "dt_net": 0.54049, "epoch": "5/200", "eta": "0:01:11", "gpu_mem": "7.45G", "grad_norm": 62.58862, "loss": 2.55990, "lr": 0.00002, "top1_err": 91.66667, "top5_err": 33.33333}
json_stats: {"RAM": "8.55/251.57G", "_type": "train_epoch", "dt": 0.12166, "dt_data": 0.12166, "dt_net": 0.54504, "epoch": "6/200", "eta": "0:01:10", "gpu_mem": "7.45G", "grad_norm": 70.47693, "loss": 2.20067, "lr": 0.00002, "top1_err": 91.66667, "top5_err": 16.66667}
json_stats: {"RAM": "8.60/251.57G", "_type": "train_epoch", "dt": 0.12664, "dt_data": 0.12663, "dt_net": 0.53390, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "7.44G", "grad_norm": 86.77904, "loss": 1.93838, "lr": 0.00000, "top1_err": 91.66667, "top5_err": 16.66667}
json_stats: {"RAM": "8.61/251.57G", "_type": "train_epoch", "dt": 0.12278, "dt_data": 0.12278, "dt_net": 0.53409, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "7.45G", "grad_norm": 96.03147, "loss": 2.15562, "lr": 0.00001, "top1_err": 100.00000, "top5_err": 25.00000}
json_stats: {"RAM": "8.66/251.57G", "_type": "val_epoch", "epoch": "2/2", "gpu_mem": "7.45G", "min_top1_err": 86.45833, "min_top5_err": 23.26389, "time_diff": 0.00009, "top1_err": 86.45833, "top5_err": 23.26389}
json_stats: {"RAM": "8.39/251.57G", "_type": "val_epoch", "epoch": "3/2", "gpu_mem": "1.99G", "min_top1_err": 91.66667, "min_top5_err": 25.00000, "time_diff": 0.00010, "top1_err": 91.66667, "top5_err": 25.00000}
json_stats: {"RAM": "8.87/251.57G", "_type": "train_epoch", "dt": 0.08187, "dt_data": 0.08187, "dt_net": 0.58369, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "4.63G", "grad_norm": 95.34539, "loss": 3.67154, "lr": 0.00000, "top1_err": 83.33333, "top5_err": 8.33333}
json_stats: {"RAM": "8.87/251.57G", "_type": "train_epoch", "dt": 0.08784, "dt_data": 0.08784, "dt_net": 0.57683, "epoch": "2/2", "eta": "0:00:00", "gpu_mem": "4.63G", "grad_norm": 89.48051, "loss": 3.57045, "lr": 0.00001, "top1_err": 91.66667, "top5_err": 25.00000}
json_stats: {"RAM": "8.90/251.57G", "_type": "val_epoch", "epoch": "2/2", "gpu_mem": "4.63G", "min_top1_err": 75.00000, "min_top5_err": 8.33333, "time_diff": 0.00008, "top1_err": 75.00000, "top5_err": 8.33333}
json_stats: {"RAM": "8.89/251.57G", "_type": "train_epoch", "dt": 0.08117, "dt_data": 0.08117, "dt_net": 0.59771, "epoch": "1/2", "eta": "0:00:00", "gpu_mem": "4.63G", "grad_norm": 86.66287, "loss": 3.91139, "lr": 0.00000, "top1_err": 91.66667, "top5_err": 41.66667}
