file_list,Level-1 Annotation,Level-2 Annotation,Dynamic Agent,Static Agent
00adc1f4-7b73-4b14-99ec-acfc28db8418.mp4,Slow Down,Right Turn,vehicle,
022ba89a-3610-406e-8fa5-e85753a3aac1.mp4,Slow Down,Left Turn,vehicle,
08df2d2d-b445-42a2-9d2f-7d62861df9cb.mp4,Slow Down,Obstruction,vehicle,
0bfad98a-4c75-46ac-99ab-a0ff330de9a3.mp4,Slow Down,Congestion,vehicle,
0c2ad5e3-d41a-4455-81fd-a21f514794fe.mp4,Slow Down,Left Turn,vehicle,
0d66a4f5-8d5b-4b19-b6f1-220a79387186.mp4,Left,Turn,vehicle,
0eb90540-cd79-4b05-bf47-90742806996e.mp4,Slow Down,Right Turn,"vehicle, pedestrian",
0ed182ac-4e94-4d73-b64b-52851b482c9b.mp4,Slow Down,pothole,vehicle,
0f0fec6d-cfb6-4109-aff1-32bcc08f4846.mp4,Slow Down,Right Turn,vehicle,
1a4b2954-0ac4-4d4f-80a1-b1e4236ce965.mp4,Slow Down,Obstruction,vehicle,others (drain pipe on road side)
1d496ed0-4db2-4e11-8e7d-1c35d09c4c3f.mp4,Right ,Turn,vehicle,
1dd638b6-a92b-4b89-af7a-a71aafa585d5.mp4,Straight,Driving Straight,,
1e540927-afec-4c0c-8e7c-cb561c55f45d.mp4,Slow Down,Left turn,vehicle,
1e97f05d-3fbc-48b1-90b1-521b6c6fce26.mp4,Slow Down,Pothole,"vehicle, pedestrian",
2bcdc0bd-2ab6-4615-9a86-399a7d592824.mp4,Slow Down,Right Turn,"vehicle, pedestrian",speed breaker
2e1fa6f8-1f99-45c1-84d2-5e012445bca5.mp4,Straight,Driving Straight,,
2e3c68ef-945c-4fcb-8516-e50d982cb968.mp4,Slow Down,Right Turn,vehicle,
2f1d2bd4-4f2b-419b-adb1-672600116cb0.mp4,Slow Down,U Turn,vehicle,
33a17931-7abf-40bf-a52d-927bb2f3243b.mp4,Slow Down,Yield,vehicle,
36c657cf-9387-4431-ab86-ae2c19529135.mp4,Straight,Driving Straight,,
3a5a02de-96ed-4b1a-832b-6aa1891e6890.mp4,Slow Down,Left Right,,"pothole, pedestrian"
3be89b80-e71d-4cc0-ac5a-9f4a07cc6c15.mp4,Slow Down,Right Turn,vehicle,
3facf4c5-b616-4212-975b-d56bfff2af7e.mp4,Slow Down,Left Turn,vehicle,
40a1e64f-11f7-4dc7-b53c-3f0a62703880.mp4,Right,Lane Change,vehicle,
45a242be-beb6-4068-a68f-91cc35b1c795.mp4,Slow Down,Traffic Light,vehicle,
4a6e7419-3758-4921-8030-ddff19e55158.mp4,Straight,Driving Straight,,
4bb3959a-b578-424b-9136-2108be45d4b2.mp4,Slow Down,Left Turn,vehicle,vehicle
4cba335c-1e3a-4189-9a88-2e04a31b032a.mp4,Straight,Driving Straight,,
4dd79dd4-1dcc-4a27-93f2-47d3009a025f.mp4,Straight,Driving Straight,,
5b0f594c-fb03-4322-995a-660bfeadd556.mp4,Slow Down,Yield,vehicle,
6a87ca9b-eeb6-47d9-aa94-97d9bafef2b6.mp4,Slow Down,Congestion,vehicle,
6a9ec66b-958e-4b66-9dab-4327fa3c5243.mp4,Stop,Congestion,vehicle,
6bfff9ca-6ef6-437c-8db6-61eb9d25a16f.mp4,Slow Down,Right Turn,vehicle,
6cd83512-1deb-4514-ac3b-9aeeb4a9beac.mp4,Straight, Driving Straight,,
